id,subject,fold,model,area_category,missed_rate
SR009-TL1-4050-4114,SR009,3,3D,Large,9.67741935483871
SR009-TL1-4050-4114,SR009,3,2D,Tiny,14.87603305785124
SR009-TL1-4050-4114,SR009,3,2D,Small,19.00826446280992
SR009-TL1-4050-4114,SR009,3,2D,Medium,13.223140495867769
SR009-TL1-4050-4114,SR009,3,2D,Large,10
SR009-TL1-4520-4584,SR009,3,3D,Tiny,9.923664122137405
SR009-TL1-4520-4584,SR009,3,3D,Small,39.455782312925166
SR009-TL1-4520-4584,SR009,3,3D,Medium,17.687074829931973
SR009-TL1-4520-4584,SR009,3,3D,Large,8.108108108108109
SR009-TL1-4520-4584,SR009,3,2D,Tiny,9.16030534351145
SR009-TL1-4520-4584,SR009,3,2D,Small,36.054421768707485
SR009-TL1-4520-4584,SR009,3,2D,Medium,14.965986394557824
SR009-TL1-4520-4584,SR009,3,2D,Large,8.928571428571429
SR009-TL1-6130-6194,SR009,3,3D,Tiny,7.142857142857142
SR009-TL1-6130-6194,SR009,3,3D,Small,25.233644859813083
SR009-TL1-6130-6194,SR009,3,3D,Medium,15.789473684210526
SR009-TL1-6130-6194,SR009,3,3D,Large,7.6923076923076925
SR009-TL1-6130-6194,SR009,3,2D,Tiny,7.142857142857142
SR009-TL1-6130-6194,SR009,3,2D,Small,27.102803738317753
SR009-TL1-6130-6194,SR009,3,2D,Medium,10.606060606060606
SR009-TL1-6130-6194,SR009,3,2D,Large,7.894736842105263
SR009-TR1-2930-2994,SR009,3,3D,Tiny,18
SR009-TR1-2930-2994,SR009,3,3D,Small,12.5
SR009-TR1-2930-2994,SR009,3,3D,Medium,28.749999999999996
SR009-TR1-2930-2994,SR009,3,3D,Large,10
SR009-TR1-2930-2994,SR009,3,2D,Tiny,18
SR009-TR1-2930-2994,SR009,3,2D,Small,12.5
SR009-TR1-2930-2994,SR009,3,2D,Medium,32.5
SR009-TR1-2930-2994,SR009,3,2D,Large,11.538461538461538
SR009-TR1-5300-5364,SR009,3,3D,Tiny,8.771929824561402
SR009-TR1-5300-5364,SR009,3,3D,Small,54.054054054054056
SR009-TR1-5300-5364,SR009,3,3D,Medium,17.56756756756757
SR009-TR1-5300-5364,SR009,3,2D,Tiny,7.894736842105263
SR009-TR1-5300-5364,SR009,3,2D,Small,55.4054054054054
SR009-TR1-5300-5364,SR009,3,2D,Medium,20.945945945945947
SR009-TR1-5300-5364,SR009,3,2D,Large,5.555555555555555
SR010-CL1-4068-4132,SR010,4,3D,Tiny,9.523809523809524
SR010-CL1-4068-4132,SR010,4,3D,Small,18.75
SR010-CL1-4068-4132,SR010,4,3D,Medium,12.5
SR010-CL1-4068-4132,SR010,4,3D,Large,7.142857142857142
SR010-CL1-4068-4132,SR010,4,2D,Tiny,9.090909090909092
SR010-CL1-4068-4132,SR010,4,2D,Small,18.75
SR010-CL1-4068-4132,SR010,4,2D,Medium,26.785714285714285
SR010-CL1-4068-4132,SR010,4,2D,Large,7.142857142857142
SR010-CL1-6954-7018,SR010,4,3D,Small,9.210526315789473
SR010-CL1-6954-7018,SR010,4,3D,Medium,9.090909090909092
SR010-CL1-6954-7018,SR010,4,3D,Large,9.090909090909092
SR010-CL1-6954-7018,SR010,4,2D,Small,9.210526315789473
SR010-CL1-6954-7018,SR010,4,2D,Medium,17.1875
SR010-CL1-6954-7018,SR010,4,2D,Large,13.20754716981132
SR010-CL2-1125-1189,SR010,4,3D,Tiny,7.017543859649122
SR010-CL2-1125-1189,SR010,4,3D,Small,23.684210526315788
SR010-CL2-1125-1189,SR010,4,3D,Medium,6.666666666666667
SR010-CL2-1125-1189,SR010,4,3D,Large,6.666666666666667
SR010-CL2-1125-1189,SR010,4,2D,Tiny,7.017543859649122
SR010-CL2-1125-1189,SR010,4,2D,Small,23.684210526315788
SR010-CL2-1125-1189,SR010,4,2D,Medium,11.11111111111111
SR010-CL2-1125-1189,SR010,4,2D,Large,6.666666666666667
SR010-CL2-3303-3367,SR010,4,3D,Tiny,10
SR010-CL2-3303-3367,SR010,4,3D,Small,28.39506172839506
SR010-CL2-3303-3367,SR010,4,3D,Large,10
SR010-CL2-3303-3367,SR010,4,2D,Tiny,9.876543209876543
SR010-CL2-3303-3367,SR010,4,2D,Small,54.32098765432099
SR010-CL2-997-1061,SR010,4,3D,Tiny,14.035087719298245
SR010-CL2-997-1061,SR010,4,3D,Small,13.131313131313133
SR010-CL2-997-1061,SR010,4,3D,Medium,12.280701754385964
SR010-CL2-997-1061,SR010,4,3D,Large,6.8493150684931505
SR010-CL2-997-1061,SR010,4,2D,Tiny,14.035087719298245
SR010-CL2-997-1061,SR010,4,2D,Small,11.11111111111111
SR010-CL2-997-1061,SR010,4,2D,Medium,14.912280701754385
SR010-CL2-997-1061,SR010,4,2D,Large,6.8493150684931505
SR010-CR1-5758-5822,SR010,4,3D,Tiny,10.416666666666668
SR010-CR1-5758-5822,SR010,4,3D,Small,15.972222222222221
